Jacques Faty,349,Central defender,"Villeneuve-Saint-Georges, France"
Alaixys Romao,1268,Midfielder,"L'Haÿ-les-Roses, France"
Aymen Abdennour,2566,Centre back,"Sousse, Tunisia"
Valentin Rongier,1468,Midfielder,"Mâcon, France"
Kassim Abdallah,345,Defender,"Marseille, France"
Pascal Nouma,759,"Midfielder, striker","Épinay-sur-Seine, France"
Luan Peres,1624,"Centre-back, left-back","São Paulo, Brazil"
Djibril Cissé,23559,Forward,"Arles, France"
Henri Bedimo,834,Left-back,"Douala, Cameroon"
Jordan Amavi,3944,Left back,"Toulon, France"
André Luiz,146,Attacking midfielder,"São Paulo, Brazil"
Cyril Chapuis,160,Striker,"Lyon, France"
Peter Luccin,577,Defensive midfielder,"Marseille, France"
Stéphane Sparagna,307,"Defender, Defensive midfielder","Marseille, France"
Guillaume Deschamps,42,Striker,"Marseille, France"
Rubén Blanco,964,Goalkeeper,"Mos, Spain"
Fabrice Abriel,290,Midfielder,"Suresnes, France"
Giannelli Imbula,4300,Defensive midfielder,"Vilvoorde, Belgium"
Karlheinz Förster,959,Centre-back,"Mosbach, West Germany"
Nenad Bjeković,143,Striker,"Belgrade, SFR Yugoslavia"
Billel Omrani,2184,Forward,"Forbach, France"
Vincent Gragnic,51,Attacking midfielder,"Quimperlé, France"
Péguy Luyindula,775,Forward,"Kinshasa, Zaire"
Alexis Sánchez,117507,Forward,"Tocopilla, Chile"
Frédéric Brando,140,Midfielder,"Cannes, France"
Yohann Pelé,1518,Goalkeeper,"Brou-sur-Chantereine, France"
Djamel Belmadi,4462,Midfielder,"Champigny-sur-Marne, France"
Sabri Lamouchi,7708,Midfielder,"Lyon, France"
Paulo Futre,6087,Winger,"Montijo, Portugal"
Seydou Keita,9200,Midfielder,"Bamako, Mali"
Hilton,3246,Centre-back,"Brasilia, Brazil"
Bruno N'Gotty,955,Centre-back,"Lyon, France"
Vedran Runje,806,Goalkeeper,"Sinj, SR Croatia, Yugoslavia"
Abedi Pele,13668,Attacking midfielder,"Kibi, Eastern Region, Ghana"
Lucas Perrin,1603,Defender,"Marseille, France"
Yvon Le Roux,306,Centre back,"Plouvorn, France"
Taye Taiwo,5628,Left back,"Lagos, Nigeria"
Adil Rami,41757,Centre back,"Bastia, France"
Rudi Skácel,1516,Attacking Midfielder,"Trutnov, Czechoslovakia"
André Ayew,24874,Winger,"Seclin, France"
Carlos Mozer,1121,Centre back,"Rio de Janeiro, Brazil"
Fabien Camus,175,Attacking midfielder,"Arles, France"
Stéphane Mazzolini,33,Defender,"Reims, France"
Cyril Rool,344,Midfielder,"Pertuis, France"
Isaak Touré,1738,Defender,"Gonesse, France"
Jérôme Bonnissel,247,Left-back,"Montpellier, France"
Klaus Allofs,1867,Striker,"Düsseldorf, West Germany"
Bouna Sarr,8534,"Right back, winger","Lyon, France"
Lucas Silva,5863,Midfielder,"Bom Jesus de Goiás, Brazil"
Matt Moussilou,151,Striker,"Paris, France"
Jean-François Domergue,303,Defender,"Bordeaux, France"
Luiz Gustavo,10672,Defensive midfielder,"Pindamonhangaba, Brazil"
Abou Diaby,13831,Midfielder,"Paris, France"
Piotr Świerczewski,666,Midfielder,"Nowy Sącz, Polish People’s Republic"
Alain Cantareil,38,Left back,"Marseille, France"
Dmitri Sychev,857,Forward / midfielder,"Omsk, Soviet Union"
Cédric Carrasso,1453,Goalkeeper,"Avignon, France"
Aaron Leya Iseka,3061,Striker,"Brussels, Belgium"
Lilian Martin,83,Right-back,"Valréas, France"
Fabrice Henry,52,Midfielder,"Argenteuil, France"
Bernard Genghini,534,Midfielder,"Soultz-Haut-Rhin, France"
Iván de la Peña,3220,Midfielder,"Santander, Spain"
Demetrius Ferreira,98,Right-back,"São Paulo, Brazil"
Tomáš Hubočan,1921,Defender,"Žilina, Czechoslovakia"
Franck Ribéry,73420,Winger,"Boulogne-sur-Mer, France"
Daniel Dutuel,129,Midfielder,"Bort-les-Orgues, France"
Konrad de la Fuente,18503,Winger,"Miami, Florida, United States"
Mathieu Flamini,17601,Midfielder,"Marseille, France"
Mido,13194,Striker,"Cairo, Egypt"
Lassana Diarra,20880,Defensive midfielder,"Paris, France"
William Vainqueur,1293,Midfielder,"Neuilly-sur-Marne, France"
Elliot Grandin,717,Winger,"Caen, France"
Andrew Tembo,134,Midfield,"Lusaka, Zambia"
Jean-Philippe Durand,227,Midfielder,"Lyon, France"
Igor Dobrovolski,1022,Winger,"Markivka, Odessa Oblast,Ukrainian SSR, Soviet Union"
Christophe Dugarry,6103,Forward,"Lormont, France"
Jérémie Porsan-Clémenté,363,Forward,"Schœlcher, Martinique, France"
Koji Nakata,123,"Defender, midfielder","Otsu, Shiga, Japan"
Wilfried Dalmat,224,Midfielder,"Massy, France"
Frédéric Tatarian,39,Midfielder,"Marseille, France"
Jean-Philippe Sabo,139,Defender,"Gouvieux, France"
Luis Suárez,6494,Centre-forward,"Santa Marta, Colombia"
Éric Decroix,40,Defender,"Croix, France"
Charles Kaboré,1917,Midfielder,"Bobo-Dioulasso, Burkina Faso"
Thomas Deruda,46,Right midfielder,"Marseille, France"
Wesley Jobello,869,Midfielder,"Gennevilliers, France"
Jérôme Alonzo,348,Goalkeeper,"Menton, France"
Éric Mura,32,Defender,"Saint-Cyr-l'École, France"
Olivier Ntcham,8995,Midfielder,"Longjumeau, France"
Alen Škoro,225,Striker,"Sarajevo, SFR Yugoslavia"
Jean Tigana,4912,Central Midfielder,"Bamako, French Sudan"
Philippe Vercruysse,258,Midfielder,"Saumur, France"
Édouard Cissé,1009,Midfielder,"Pau, France"
